Date,Open,High,Low,Close,Adj Close,Volume
1997-06-25,27.093750,27.218750,26.656250,26.781250,11.915482,2221200
1997-06-26,26.781250,26.937500,26.250000,26.406250,11.748631,1830000
1997-06-27,26.406250,27.234375,26.406250,27.000000,12.012804,1918800
1997-06-30,27.000000,27.093750,26.421875,26.843750,11.943288,3142800
1997-07-01,26.843750,26.875000,26.250000,26.312500,11.706923,2950800
1997-07-02,26.312500,26.937500,26.125000,26.812500,11.929383,2858000
1997-07-03,27.062500,27.359375,27.062500,27.265625,12.130985,1311600
1997-07-07,27.265625,27.406250,27.062500,27.062500,12.040615,2512400
1997-07-08,27.062500,27.843750,27.062500,27.750000,12.346494,3866800
1997-07-09,27.750000,28.062500,27.562500,27.671875,12.311738,4871600
1997-07-10,27.671875,28.203125,27.562500,28.203125,12.548102,3986000
1997-07-11,28.265625,28.875000,28.265625,28.718750,12.777510,3940800
1997-07-14,28.656250,28.656250,27.937500,28.062500,12.485530,2591000
1997-07-15,28.062500,28.062500,27.468750,27.750000,12.346494,2497200
1997-07-16,27.781250,28.437500,27.781250,28.343750,12.610660,2754600
1997-07-17,28.343750,28.500000,28.000000,28.031250,12.582614,2450800
1997-07-18,27.843750,27.843750,27.156250,27.187500,12.203873,3058200
1997-07-21,27.250000,28.531250,27.250000,28.375000,12.736915,3328800
1997-07-22,28.375000,28.718750,27.312500,28.093750,12.610660,3832400
1997-07-23,28.093750,28.718750,27.562500,27.843750,12.498446,3382800
1997-07-24,27.843750,27.906250,27.281250,27.500000,12.344148,3041600
1997-07-25,28.031250,28.562500,28.031250,28.406250,12.750937,3127600
1997-07-28,28.406250,28.968750,28.250000,28.781250,12.919271,3727400
1997-07-29,28.875000,29.906250,28.875000,29.875000,13.410229,3282600
1997-07-30,29.875000,29.968750,29.531250,29.750000,13.354122,1595800
1997-07-31,29.750000,29.750000,28.000000,28.000000,12.568581,3323000
1997-08-01,28.625000,29.687500,28.625000,29.468750,13.227869,3805200
1997-08-04,29.468750,29.468750,28.718750,29.437500,13.213845,2469000
1997-08-05,29.437500,29.500000,29.062500,29.250000,13.129681,1869000
1997-08-06,29.250000,29.750000,28.937500,29.250000,13.129681,2215800
1997-08-07,30.250000,30.812500,30.250000,30.343750,13.620646,2760200
1997-08-08,30.031250,30.031250,29.000000,29.187500,13.101629,3426600
1997-08-11,29.218750,29.843750,29.218750,29.625000,13.298011,2014200
1997-08-12,29.625000,29.687500,29.093750,29.281250,13.143707,2108400
1997-08-13,29.281250,29.781250,29.187500,29.656250,13.312038,2742800
1997-08-14,29.656250,29.906250,29.156250,29.718750,13.340097,2274200
1997-08-15,29.500000,29.500000,29.031250,29.031250,13.031492,1902200
1997-08-18,29.031250,29.218750,28.687500,29.187500,13.101629,2445000
1997-08-19,29.218750,29.781250,29.218750,29.781250,13.368153,2097200
1997-08-20,29.781250,30.468750,29.406250,30.468750,13.676750,2460600
1997-08-21,30.468750,30.656250,29.750000,30.062500,13.494392,2108800
1997-08-22,29.812500,29.812500,28.812500,29.625000,13.298011,2511200
1997-08-25,29.625000,30.125000,29.625000,29.875000,13.410229,1360800
1997-08-26,29.875000,29.968750,29.125000,29.312500,13.157738,1445600
1997-08-27,29.312500,30.156250,29.187500,30.031250,13.480368,2114800
1997-08-28,29.968750,29.968750,28.875000,28.906250,12.975383,2784800
1997-08-29,28.906250,29.375000,28.562500,29.031250,13.031492,2630000
1997-09-02,29.031250,29.687500,28.906250,29.218750,13.115658,2245600
1997-09-03,29.312500,29.968750,29.312500,29.906250,13.424253,2161000
1997-09-04,28.875000,28.875000,28.000000,28.187500,12.652745,6638200
1997-09-05,28.187500,28.656250,28.031250,28.437500,12.764967,3403400
1997-09-08,28.437500,28.531250,28.125000,28.187500,12.652745,1554200
1997-09-09,28.031250,28.031250,27.562500,27.656250,12.414283,2471200
1997-09-10,27.593750,27.593750,26.625000,26.718750,11.993460,3916600
1997-09-11,26.718750,27.031250,26.500000,26.812500,12.035540,2911000
1997-09-12,26.812500,27.125000,26.687500,27.000000,12.119709,1875800
1997-09-15,27.000000,27.062500,26.593750,26.750000,12.007489,2078200
1997-09-16,27.000000,28.093750,27.000000,27.843750,12.498446,2581200
1997-09-17,27.843750,27.875000,27.062500,27.656250,12.414283,2258000
1997-09-18,27.968750,28.531250,27.968750,28.281250,12.694828,2481400
1997-09-19,28.031250,28.031250,27.718750,27.906250,12.526500,2210000
1997-09-22,27.906250,28.375000,27.750000,28.281250,12.694828,1919400
1997-09-23,28.281250,28.312500,27.562500,27.750000,12.456366,1502800
1997-09-24,27.750000,28.000000,27.031250,27.093750,12.161790,2345800
1997-09-25,27.093750,27.562500,26.781250,26.781250,12.021514,2126800
1997-09-26,26.875000,27.250000,26.875000,27.031250,12.133732,2173800
1997-09-29,27.031250,27.218750,26.781250,27.031250,12.133732,1580200
1997-09-30,27.031250,27.343750,26.937500,26.968750,12.105676,1520000
1997-10-01,27.000000,28.000000,27.000000,27.750000,12.456366,2479400
1997-10-02,27.718750,27.718750,27.125000,27.468750,12.330112,1455800
1997-10-03,27.468750,28.125000,27.093750,27.562500,12.372204,1758800
1997-10-06,27.812500,28.687500,27.812500,28.625000,12.849133,2194800
1997-10-07,28.625000,28.968750,28.343750,28.906250,12.975383,1769800
1997-10-08,28.906250,28.937500,28.468750,28.750000,12.905242,1110400
1997-10-09,28.750000,29.218750,27.937500,29.187500,13.101629,1678200
1997-10-10,29.187500,29.343750,28.781250,29.312500,13.157738,1423000
1997-10-13,29.375000,29.937500,29.375000,29.906250,13.424253,1515200
1997-10-14,29.906250,30.437500,29.812500,30.375000,13.634670,3843600
1997-10-15,30.250000,30.250000,29.531250,30.000000,13.466342,4311400
1997-10-16,30.000000,30.468750,29.250000,29.625000,13.409751,3232800
1997-10-17,29.468750,29.468750,28.875000,29.187500,13.211723,1572600
1997-10-20,29.187500,29.562500,28.812500,29.406250,13.310742,1283800
1997-10-21,29.406250,29.562500,29.281250,29.500000,13.353177,983800
1997-10-22,29.500000,30.218750,29.500000,30.062500,13.607792,2842200
1997-10-23,29.906250,29.906250,29.062500,29.562500,13.381468,3119200
1997-10-24,29.562500,30.062500,28.906250,28.968750,13.112703,3338000
1997-10-27,28.812500,28.812500,26.375000,26.406250,11.952789,4595800
1997-10-28,26.406250,27.500000,24.875000,27.125000,12.278135,7763000
1997-10-29,27.093750,27.093750,26.281250,26.500000,11.995221,3924600
1997-10-30,26.500000,26.625000,25.968750,26.062500,11.797192,3328400
1997-10-31,26.062500,26.343750,25.437500,25.625000,11.599158,2743200
1997-11-03,25.906250,26.468750,25.906250,26.125000,11.825482,2711800
1997-11-04,26.125000,26.687500,25.937500,26.062500,11.797192,2077600
1997-11-05,26.218750,27.500000,26.218750,26.593750,12.037664,2486000
1997-11-06,26.531250,26.531250,25.937500,26.000000,11.768901,2948600
1997-11-07,25.625000,25.625000,25.000000,25.468750,11.528433,4297000
1997-11-10,25.468750,25.875000,25.000000,25.093750,11.358685,2625200
1997-11-11,24.625000,24.625000,23.343750,24.093750,10.906034,9920400
1997-11-12,23.750000,23.750000,22.093750,22.375000,10.128049,10503200
1997-11-13,22.375000,22.937500,22.000000,22.656250,10.255350,8663800
1997-11-14,22.656250,23.437500,22.250000,22.968750,10.396807,6787600
1997-11-17,23.218750,23.750000,23.218750,23.562500,10.665566,5917800
1997-11-18,23.562500,23.937500,23.187500,23.312500,10.552399,4481800
1997-11-19,23.312500,23.437500,22.843750,23.312500,10.552399,3727600
1997-11-20,23.375000,23.687500,23.375000,23.375000,10.580693,4080800
1997-11-21,23.375000,24.062500,23.250000,23.843750,10.792877,4528600
1997-11-24,23.843750,24.093750,23.531250,23.687500,10.722150,4401800
1997-11-25,23.687500,24.156250,23.468750,23.781250,10.764585,4154600
1997-11-26,23.781250,24.000000,23.656250,23.656250,10.707999,2077800
1997-11-28,23.656250,24.250000,23.656250,23.968750,10.849458,1528800
1997-12-01,24.031250,24.750000,24.031250,24.593750,11.132366,3122400
1997-12-02,24.687500,25.718750,24.687500,25.468750,11.528433,4581600
1997-12-03,25.437500,25.437500,24.500000,25.125000,11.372829,2758000
1997-12-04,25.187500,25.875000,25.187500,25.375000,11.485992,3058600
1997-12-05,25.375000,25.906250,24.812500,25.875000,11.712320,3901000
1997-12-08,25.875000,26.500000,25.781250,25.843750,11.698177,2826200
1997-12-09,25.718750,25.718750,24.906250,25.281250,11.443563,3158800
1997-12-10,25.281250,25.281250,24.656250,24.968750,11.302102,4032800
1997-12-11,24.968750,25.218750,24.312500,24.968750,11.302102,2407600
1997-12-12,25.250000,25.875000,25.250000,25.375000,11.485992,3627000
1997-12-15,25.375000,25.593750,25.312500,25.343750,11.471851,3348800
1997-12-16,25.343750,25.468750,24.187500,24.406250,11.047488,6462600
1997-12-17,24.562500,25.500000,24.562500,25.343750,11.471851,4511000
1997-12-18,25.062500,25.062500,24.125000,24.343750,11.019196,3581000
1997-12-19,24.187500,24.187500,23.281250,24.062500,10.891897,4124000
1997-12-22,24.062500,24.500000,24.031250,24.156250,10.934328,1528800
1997-12-23,24.062500,24.062500,23.531250,23.531250,10.651421,1468800
1997-12-24,23.531250,23.750000,23.281250,23.281250,10.538258,695800
1997-12-26,23.281250,23.562500,22.937500,23.000000,10.410954,756400
1997-12-29,23.281250,23.625000,23.281250,23.562500,10.665566,1381600
1997-12-30,23.562500,24.437500,23.500000,24.281250,10.990910,2151000
1997-12-31,24.281250,24.375000,23.781250,24.250000,10.976763,1572200
1998-01-02,24.250000,24.500000,24.250000,24.500000,11.089927,1345000
1998-01-05,24.500000,24.937500,24.093750,24.843750,11.245522,2549000
1998-01-06,24.843750,24.843750,24.468750,24.656250,11.160656,1446200
1998-01-07,24.656250,24.656250,23.781250,24.218750,10.962617,2185400
1998-01-08,23.750000,23.750000,23.281250,23.406250,10.594841,2138200
1998-01-09,23.406250,23.531250,22.718750,22.718750,10.283646,3270000
1998-01-12,22.718750,23.625000,22.437500,23.218750,10.509971,3821400
1998-01-13,23.218750,23.375000,22.843750,23.031250,10.425093,3753000
1998-01-14,23.031250,23.250000,22.812500,23.187500,10.495821,3436600
1998-01-15,23.187500,23.187500,22.437500,22.750000,10.410028,2594000
1998-01-16,22.750000,23.500000,22.500000,22.656250,10.367124,4312400
1998-01-20,22.625000,22.625000,22.250000,22.500000,10.295632,6070400
1998-01-21,22.718750,23.718750,22.718750,23.437500,10.724618,11354200
1998-01-22,23.093750,23.093750,22.625000,22.781250,10.424324,5439600
1998-01-23,22.781250,22.968750,22.500000,22.750000,10.410028,4511200
1998-01-26,22.750000,23.156250,22.718750,22.812500,10.438624,2217600
1998-01-27,22.843750,23.375000,22.843750,23.187500,10.610219,3134000
1998-01-28,23.375000,24.062500,23.375000,24.062500,11.010607,3088200
1998-01-29,24.062500,24.500000,23.875000,24.250000,11.096400,3023400
1998-01-30,24.250000,24.468750,23.750000,24.000000,10.982008,2387600
1998-02-02,24.406250,25.156250,24.406250,25.125000,11.496786,3202200
1998-02-03,25.125000,25.531250,24.937500,25.250000,11.553986,3857800
1998-02-04,25.156250,25.156250,24.656250,24.937500,11.410991,1960200
1998-02-05,24.937500,25.375000,24.375000,24.437500,11.182199,3324200
1998-02-06,24.812500,25.500000,24.812500,25.375000,11.611185,2523000
1998-02-09,25.468750,26.250000,25.468750,26.250000,12.011569,2427000
1998-02-10,26.250000,26.625000,25.750000,25.812500,11.811373,3526800
1998-02-11,25.812500,26.218750,25.406250,25.687500,11.754176,2148600
1998-02-12,25.687500,26.375000,25.437500,26.000000,11.897170,2861200
1998-02-13,26.000000,26.843750,25.875000,26.781250,12.254666,3394000
1998-02-17,26.906250,27.593750,26.906250,26.937500,12.326159,3626800
1998-02-18,26.718750,26.718750,26.125000,26.375000,12.068769,2263200
1998-02-19,26.375000,26.375000,25.750000,25.937500,11.868571,1873800
1998-02-20,25.937500,26.531250,25.218750,26.312500,12.040171,3311800
1998-02-23,26.312500,26.343750,26.000000,26.031250,11.911470,1937400
1998-02-24,26.031250,26.406250,26.000000,26.281250,12.025867,2261800
1998-02-25,26.281250,26.750000,26.062500,26.562500,12.154563,1477800
1998-02-26,26.562500,26.875000,26.312500,26.593750,12.168863,1533000
1998-02-27,26.593750,27.312500,26.312500,27.281250,12.483450,1477400
1998-03-02,27.000000,27.000000,26.562500,26.781250,12.254666,1446000
1998-03-03,26.781250,27.000000,26.093750,26.281250,12.025867,3163000
1998-03-04,26.281250,26.343750,25.906250,26.031250,11.911470,2432600
1998-03-05,25.968750,25.968750,25.500000,25.593750,11.711280,1396600
1998-03-06,25.718750,26.718750,25.718750,26.656250,12.197462,2747200
1998-03-09,26.656250,26.812500,26.218750,26.500000,12.125960,2028600
1998-03-10,26.500000,27.125000,26.437500,27.000000,12.354756,2278000
1998-03-11,27.000000,27.625000,26.937500,27.031250,12.369058,1988800
1998-03-12,27.031250,28.437500,27.031250,28.000000,12.812337,2507600
1998-03-13,28.062500,28.687500,28.062500,28.093750,12.855229,2355800
1998-03-16,28.093750,29.000000,27.875000,28.906250,13.227027,1707400
1998-03-17,28.906250,28.968750,28.562500,28.750000,13.155528,1531600
1998-03-18,28.750000,29.250000,28.750000,29.031250,13.284225,2426600
1998-03-19,29.031250,29.625000,28.000000,28.031250,12.826637,14532400
1998-03-20,28.031250,28.343750,27.656250,28.031250,12.826637,4164800
1998-03-23,28.031250,28.437500,27.437500,28.125000,12.869533,2160400
1998-03-24,28.125000,28.593750,28.000000,28.281250,12.941034,1579200
1998-03-25,28.281250,28.343750,27.562500,27.718750,12.683644,2642800
1998-03-26,27.593750,27.593750,27.000000,27.375000,12.526351,2845400
1998-03-27,27.375000,27.937500,27.312500,27.750000,12.697941,1987400
